TIME (days),BRIGHTNESS (flux)
2458695.47134832,0.9990416765213013,0.0
2458695.47273722,1.0005998611450195,0.0
2458695.47551501,1.0002273321151733,0.0
2458695.48245951,0.999670684337616,0.0
2458695.48523731,0.9991030097007751,0.0
2458695.489404,1.0005582571029663,0.0
2458695.4907929,1.000281572341919,0.0
2458695.4921818,0.9999697804450989,0.0
2458695.4935707,1.000331997871399,0.0
2458695.4949596,0.9997771978378296,0.0
2458695.4963485,0.9999501705169678,0.0
2458695.4977374,1.0008175373077393,0.0
2458695.50190409,0.9997527003288269,0.0
2458695.50607079,0.999891996383667,0.0
2458695.50745969,0.9992871880531311,0.0
2458695.51162639,0.9996572732925415,0.0
2458695.51301529,0.9994875192642212,0.0
2458695.51440419,0.999025821685791,0.0
2458695.51579308,0.9995365142822266,0.0
2458695.51857088,0.9996141195297241,0.0
2458695.51995978,0.9996936917304993,0.0
2458695.52134868,1.000181794166565,0.0
2458695.52551538,0.999718189239502,0.0
2458695.52829318,1.0007420778274536,0.0
2458695.52968208,1.0008856058120728,0.0
2458695.53245987,0.9994435906410217,0.0
2458695.53384877,1.0004347562789917,0.0
2458695.53662657,0.9995265007019043,0.0
2458695.53801547,1.0004091262817383,0.0
2458695.53940437,0.9995489120483398,0.0
2458695.54218217,0.9997349977493286,0.0
2458695.54357107,1.0004769563674927,0.0
2458695.54495997,0.9998806118965149,0.0
2458695.54773776,0.9990332126617432,0.0
2458695.54912666,0.9998942017555237,0.0
2458695.56023786,1.0001657009124756,0.0
2458695.56162676,1.0006831884384155,0.0
2458695.56301565,0.999524712562561,0.0
2458695.56857125,0.9996634721755981,0.0
2458695.57412685,1.0007563829421997,0.0
2458695.57829355,1.000533103942871,0.0
2458695.58107134,1.0002928972244263,0.0
2458695.58246024,1.0004619359970093,0.0
2458695.58801584,0.999610424041748,0.0
2458695.58940474,1.000146508216858,0.0
2458695.59079364,1.000737190246582,0.0
2458695.59218254,0.9996587038040161,0.0
2458695.59496034,1.0003470182418823,0.0
2458695.59912703,1.0008697509765625,0.0
2458695.60051593,1.011104619026184,0.012
2458695.60329373,1.01178768825531,0.012
2458695.60468263,1.0129093284606934,0.012
2458695.60746043,1.012077247619629,0.012
2458695.60884933,1.0126258487701416,0.012
2458695.61162713,1.0127309913635254,0.012
2458695.61301603,1.0122378225326538,0.012
2458695.61440492,1.012973105430603,0.012
2458695.61857162,1.0113544220924378,0.012
2458695.62134942,1.0123995895385742,0.012
2458695.62412722,1.0110767240524292,0.012
2458695.62551612,1.012435471534729,0.012
2458695.62690502,1.0117630715370178,0.012
2458695.62968282,1.0124463195800781,0.012
2458695.63246062,1.0127368326187134,0.012
2458695.63384952,1.011700903892517,0.012
2458695.63940511,1.0112619752883911,0.012
2458695.64218291,1.0126438493728638,0.012
2458695.64634961,1.0114211196899414,0.012
2458695.64773851,1.0120908374786377,0.012
2458695.64912741,1.0115856881141663,0.012
2458695.65051631,1.0116743202209473,0.012
2458695.65329411,1.0118074769973755,0.012
2458695.654683,1.011193012714386,0.012
2458695.6560719,1.0111722702980042,0.012
2458695.6588497,1.0112101192474365,0.012
2458695.6602386,1.012616431236267,0.012
2458695.6616275,1.0123355741500855,0.012
2458695.6630164,1.012232219696045,0.012
2458695.6671831,1.0128019208908081,0.012
2458695.6699609,1.012001072883606,0.012
2458695.6741276,1.0125757808685303,0.012
2458695.67829429,1.0127176399230957,0.012
2458695.67968319,1.0118118877410889,0.012
2458695.68107209,1.0112722272872925,0.012
2458695.68246099,1.0118149275779724,0.012
2458695.68384989,1.0101936812400818,0.012
2458695.68523879,1.0120134706497192,0.012
2458695.68662769,1.0098175163269043,0.012
2458695.68801659,1.0116060132980347,0.012
2458695.68940549,1.0120303983688355,0.012
2458695.69218329,1.0116005296707153,0.012
2458695.69773889,1.0124979372024536,0.012
2458695.70051668,1.0124653930664063,0.012
2458695.70190558,1.0123474950790405,0.012
2458695.70468338,1.0100180263519287,0.012
2458695.70607228,1.0123292560577393,0.012
2458695.70746118,1.0118927116394043,0.012
2458695.70885008,1.0129171962738037,0.012
2458695.71023898,1.0118540878295899,0.012
2458695.71162788,1.0117392892837525,0.012
2458695.71440568,1.0124082918167114,0.012
2458695.71579458,1.01259974193573,0.012
2458695.71718348,1.010838186264038,0.012
2458695.71857238,1.0099307055473328,0.012
2458695.71996128,1.0104048008918762,0.012
2458695.72135018,1.0089089031219483,0.012
2458695.72273908,1.0110286231040955,0.012
2458695.72412797,1.0091742033958435,0.012
2458695.72551687,1.0079821105003357,0.012
2458695.72690577,1.0082046146392822,0.012
2458695.72829467,1.0061515922546387,0.012
2458695.72968357,1.0078910942077637,0.012
2458695.73107247,1.0063124055862427,0.012
2458695.73385027,1.0051060075759888,0.012
2458695.73662807,1.0060304160118103,0.012
2458695.73801697,1.0048609728813171,0.012
2458695.73940587,1.0064016933441162,0.012
2458695.74218367,1.006711995124817,0.012
