TIME (days),BRIGHTNESS (mag)
14.997000000003027,28.740451682149313,0.0
14.997000000003027,18.927,0.0
18.976000000002387,28.657864611800182,0.0
18.976000000002387,18.686,0.0
35.044999999998254,18.804,0.0
36.95300000000134,18.745,0.0
37.91500000000087,18.674,0.0
41.020000000004075,18.637,0.0
43.9120000000039,18.506,0.0
46.9120000000039,18.575,0.0
56.953999999997905,18.511,0.0
59.91400000000431,18.438,0.0
65.91500000000087,24.364485430229827,0.0
65.91500000000087,18.359,0.0
78.00200000000041,22.801415152205674,0.0
78.00200000000041,18.542,0.0
92.89800000000105,18.486,0.0
95.93699999999808,18.419,0.0
117.85700000000361,18.618,0.0
120.85900000000402,18.63,0.0
125.85599999999977,18.475,0.0
128.86699999999837,18.505,0.0
275.1470000000045,27.771917194225722,0.0
275.1470000000045,18.821,0.0
281.2280000000028,18.692,0.0
366.0370000000039,18.761,0.0
367.06000000000495,18.715,0.0
369.9950000000026,18.701,0.0
372.9979999999996,27.324582815609716,0.0
372.9979999999996,18.652,0.0
375.97299999999814,18.659,0.0
393.997000000003,18.272,0.0
398.00100000000384,22.88193054445676,0.0
398.00100000000384,18.211,0.0
401.05600000000413,18.33,0.0
404.0740000000005,18.509,0.0
411.9559999999983,18.615,0.0
414.9979999999996,18.761,0.0
418.9029999999984,18.982,0.0
421.9579999999987,18.891,0.0
430.90400000000227,18.959,0.0
436.89800000000105,18.626,0.0
445.89400000000023,26.249935076817962,0.0
445.89400000000023,19.076,0.0
451.9100000000035,19.078,0.0
464.89400000000023,18.823,0.0
681.2099999999991,18.981,0.0
693.1260000000038,19.035,0.0
736.9400000000023,19.289,0.0
745.9820000000036,19.036,0.0
768.976999999999,19.274,0.0
772.9500000000044,19.197,0.0
798.974000000002,29.94454864748429,0.0
798.974000000002,19.188,0.0
803.9320000000007,18.904,0.0
807.9320000000007,18.814,0.0
809.9500000000044,29.514416437139083,0.0
809.9500000000044,18.82,0.0
813.8899999999994,18.752,0.0
825.9110000000001,18.566,0.0
827.9290000000037,18.647,0.0
836.9389999999985,18.511,0.0
1076.0529999999999,24.57394807651133,0.0
1076.0529999999999,18.531,0.0
1076.0529999999999,18.531,0.0
1081.0570000000007,18.723,0.0
1097.0820000000022,19.018,0.0
1099.0429999999978,19.023,0.0
1101.0410000000047,19.031,0.0
1372.211000000003,18.712,0.0
1396.1790000000037,24.088375495793866,0.0
1396.1790000000037,18.524,0.0
1399.1810000000041,26.782951916345265,0.0
1399.1810000000041,18.42,0.0
1449.0160000000033,18.815,0.0
1453.0639999999985,18.787,0.0
1456.0800000000017,18.973,0.0
1458.1800000000003,19.022,0.0
1462.076000000001,19.146,0.0
1464.1130000000048,19.113,0.0
1466.137999999999,19.048,0.0
389.1770000000033,17.895,0.0
389.1770000000033,29.898784603111693,0.0
389.1770000000033,17.895,0.0
389.1770000000033,29.844653706925385,0.0
389.1770000000033,18.276,0.0
389.1770000000033,17.909,0.0
389.1770000000033,17.909,0.0
389.1770000000033,18.276,0.0
393.0770000000048,18.147,0.0
397.1270000000004,17.966,0.0
397.1270000000004,17.966,0.0
397.1270000000004,25.442129469046638,0.0
397.1270000000004,17.966,0.0
402.1840000000011,17.953,0.0
402.1840000000011,17.953,0.0
402.1840000000011,17.953,0.0
402.1840000000011,17.953,0.0
419.9860000000044,27.14148853743562,0.0
419.9860000000044,18.626,0.0
423.98800000000483,18.743,0.0
445.0650000000023,18.338,0.0
445.0650000000023,27.126146550024085,0.0
445.0650000000023,18.338,0.0
445.0650000000023,18.338,0.0
455.9860000000044,18.187,0.0
480.9690000000046,18.201,0.0
480.9690000000046,18.201,0.0
480.9690000000046,18.201,0.0
504.9429999999993,18.535,0.0
508.9389999999985,18.414,0.0
508.9389999999985,18.414,0.0
517.9330000000045,22.69901104092819,0.0
517.9330000000045,18.29,0.0
740.2090000000026,18.636,0.0
758.0740000000005,18.292,0.0
780.1949999999997,18.744,0.0
803.0449999999983,18.287,0.0
804.0590000000011,18.43,0.0
828.987000000001,18.269,0.0
828.987000000001,18.269,0.0
836.0089999999982,18.114,0.0
836.0089999999982,29.071306714102896,0.0
836.0089999999982,18.114,0.0
838.9670000000042,18.244,0.0
838.9670000000042,18.244,0.0
840.9660000000003,18.267,0.0
858.9510000000009,18.241,0.0
864.9599999999991,18.052,0.0
894.9259999999995,18.331,0.0
990.3470000000016,18.363,0.0
1481.1059999999998,18.744,0.0
1492.076000000001,18.758,0.0
990.3470000000016,18.346,0.0
991.3550000000032,18.471,0.0
1015.3340000000026,18.557,0.0
1038.237000000001,18.339,0.0
1041.2880000000005,18.342,0.0
1045.2810000000027,18.485,0.0
1049.275999999998,18.394,0.0
1068.211000000003,18.483,0.0
1068.211000000003,18.483,0.0
1075.185000000005,18.059,0.0
1080.1650000000009,18.137,0.0
1080.1650000000009,18.137,0.0
